OID_,DateTimeProcessed,Latitude,Longitude,Speed_file,Device,objectid_1,globalid,Heading,DateTimeRecord
7439,1653530769185,43.554710000000000,-96.730750000000000,1.000000000000000,Fleet Parts Runner SF110331,40192.000000000000000,{FA9D6BBC-6848-0C90-0BE5-5AC1C29A87CB},0.000000000000000,1653512768000
4944,1653530778170,43.554639999999999,-96.730770000000007,0.000000000000000,Fleet Parts Runner SF110331,40193.000000000000000,{3ECD41DE-3F73-9431-D92A-CAC84E986DC4},192.000000000000000,1653512778000
3274,1653530779470,43.554659999999998,-96.730770000000007,1.000000000000000,Fleet Parts Runner SF110331,40194.000000000000000,{80C036CA-12BC-6FAA-D503-1D1D1824A637},0.000000000000000,1653512779000
2490,1653530785196,43.554580000000001,-96.730930000000001,6.000000000000000,Fleet Parts Runner SF110331,40195.000000000000000,{310C31F9-83BF-1A55-3712-884315CEC610},235.000000000000000,1653512785000
2493,1653530794202,43.554180000000002,-96.730930000000001,12.000000000000000,Fleet Parts Runner SF110331,40196.000000000000000,{064615E8-350C-5B4D-C6B8-238276C700FD},180.000000000000000,1653512794000
4105,1653530800213,43.554020000000001,-96.730879999999999,2.000000000000000,Fleet Parts Runner SF110331,40197.000000000000000,{0F88C9AE-1B81-B841-A851-432E94218A63},167.000000000000000,1653512800000
5810,1653530806267,43.553919999999998,-96.730879999999999,5.000000000000000,Fleet Parts Runner SF110331,40198.000000000000000,{F030B8EC-0035-C18B-759F-D5310D3A9195},180.000000000000000,1653512806000
9085,1653530812235,43.553870000000003,-96.731059999999999,4.000000000000000,Fleet Parts Runner SF110331,40199.000000000000000,{62F4EDED-30D4-8B80-1B9B-81C049E14D43},249.000000000000000,1653512812000
5378,1653530818243,43.553970000000000,-96.731219999999993,11.000000000000000,Fleet Parts Runner SF110331,40200.000000000000000,{79752A0C-6D39-E909-EE2D-946FFC63CA30},311.000000000000000,1653512818000
10,1653530819266,43.512500000000003,-96.708399999999997,0.000000000000000,Street Sander SF829036,40201.000000000000000,{3CE6A053-C7DC-3B72-9BD3-F16E58FC7127},0.000000000000000,1653512819000
3275,1653530823325,43.554360000000003,-96.731219999999993,23.000000000000000,Fleet Parts Runner SF110331,40203.000000000000000,{01D96F9E-C278-DFCB-6907-8B725725B2FD},0.000000000000000,1653512823000
4527,1653530831291,43.572969999999998,-96.722629999999995,0.000000000000000,Street Sander SF829044,40204.000000000000000,{9C896678-B0D0-8442-36F0-E6C6444D76A9},0.000000000000000,1653512831000
6637,1653530836296,43.555579999999999,-96.731219999999993,22.000000000000000,Fleet Parts Runner SF110331,40205.000000000000000,{1ABD7831-6A9C-3711-9219-C94BD95184A4},0.000000000000000,1653512836000
1718,1653530840306,43.541020000000003,-96.764849999999996,0.000000000000000,Street Sander SF829038,40206.000000000000000,{F64B86AA-6BC1-2EAB-8B74-35FAB08D30EA},0.000000000000000,1653512840000
8253,1653530844318,43.517440000000001,-96.730419999999995,0.000000000000000,Street Sander SF829042,40207.000000000000000,{3C35F491-33C0-2D21-CF12-E93FDE943773},0.000000000000000,1653512844000
2,1653530850319,43.557119999999998,-96.731219999999993,31.000000000000000,Fleet Parts Runner SF110331,40208.000000000000000,{29C1BFC1-1004-94B4-24C2-13FCCAEFF4EE},0.000000000000000,1653512850000
